""	"gender"	"race"
"1"	"Female"	"Caucasian"
"2"	"Female"	"Caucasian"
"3"	"Female"	"AfricanAmerican"
"4"	"Male"	"Caucasian"
"5"	"Male"	"Caucasian"
"6"	"Male"	"Caucasian"
"7"	"Male"	"Caucasian"
"8"	"Male"	"Caucasian"
"9"	"Female"	"Caucasian"
"10"	"Female"	"Caucasian"
"11"	"Female"	"AfricanAmerican"
"12"	"Male"	"AfricanAmerican"
"13"	"Female"	"Caucasian"
"14"	"Male"	"Caucasian"
"15"	"Female"	"AfricanAmerican"
"16"	"Male"	"AfricanAmerican"
"17"	"Male"	"AfricanAmerican"
"18"	"Female"	"Caucasian"
"19"	"Male"	"AfricanAmerican"
"20"	"Male"	"?"
"21"	"Female"	"?"
"22"	"Male"	"?"
"23"	"Female"	"AfricanAmerican"
"24"	"Female"	"Caucasian"
"25"	"Female"	"AfricanAmerican"
"26"	"Female"	"Other"
"27"	"Male"	"Caucasian"
"28"	"Female"	"Caucasian"
"29"	"Male"	"Caucasian"
"30"	"Female"	"Caucasian"
"31"	"Female"	"AfricanAmerican"
"32"	"Male"	"AfricanAmerican"
"33"	"Female"	"Caucasian"
"34"	"Male"	"Caucasian"
"35"	"Female"	"Caucasian"
"36"	"Female"	"Caucasian"
"37"	"Female"	"Caucasian"
"38"	"Female"	"Caucasian"
"39"	"Male"	"Caucasian"
"40"	"Male"	"Caucasian"
"41"	"Female"	"Caucasian"
"42"	"Male"	"Caucasian"
"43"	"Female"	"Caucasian"
"44"	"Male"	"Caucasian"
"45"	"Female"	"Caucasian"
"46"	"Female"	"Caucasian"
"47"	"Female"	"Caucasian"
"48"	"Male"	"Caucasian"
"49"	"Male"	"Caucasian"
"50"	"Male"	"Caucasian"
"51"	"Male"	"AfricanAmerican"
"52"	"Male"	"Caucasian"
"53"	"Female"	"AfricanAmerican"
"54"	"Female"	"AfricanAmerican"
"55"	"Female"	"?"
"56"	"Female"	"Caucasian"
"57"	"Female"	"AfricanAmerican"
"58"	"Male"	"Caucasian"
"59"	"Female"	"AfricanAmerican"
"60"	"Male"	"Caucasian"
"61"	"Female"	"AfricanAmerican"
"62"	"Male"	"Caucasian"
"63"	"Female"	"AfricanAmerican"
"64"	"Male"	"Caucasian"
"65"	"Female"	"AfricanAmerican"
"66"	"Female"	"?"
"67"	"Male"	"Caucasian"
"68"	"Female"	"Caucasian"
"69"	"Female"	"Caucasian"
"70"	"Female"	"Caucasian"
"71"	"Female"	"Caucasian"
"72"	"Male"	"Caucasian"
"73"	"Male"	"Caucasian"
"74"	"Female"	"Caucasian"
"75"	"Female"	"Caucasian"
"76"	"Female"	"Caucasian"
"77"	"Male"	"AfricanAmerican"
"78"	"Female"	"Caucasian"
"79"	"Female"	"Caucasian"
"80"	"Female"	"Caucasian"
"81"	"Male"	"Caucasian"
"82"	"Male"	"AfricanAmerican"
"83"	"Female"	"Caucasian"
"84"	"Male"	"Caucasian"
"85"	"Male"	"Other"
"86"	"Male"	"Caucasian"
"87"	"Female"	"Caucasian"
"88"	"Male"	"?"
"89"	"Male"	"AfricanAmerican"
"90"	"Male"	"Caucasian"
"91"	"Female"	"Caucasian"
"92"	"Male"	"Caucasian"
"93"	"Male"	"AfricanAmerican"
"94"	"Female"	"AfricanAmerican"
"95"	"Female"	"AfricanAmerican"
"96"	"Male"	"Caucasian"
"97"	"Female"	"Caucasian"
"98"	"Male"	"Caucasian"
"99"	"Female"	"Other"
"100"	"Male"	"?"
"101"	"Male"	"Caucasian"
"102"	"Female"	"Caucasian"
"103"	"Female"	"Caucasian"
"104"	"Male"	"Caucasian"
"105"	"Female"	"AfricanAmerican"
"106"	"Male"	"Caucasian"
"107"	"Female"	"Other"
"108"	"Female"	"Caucasian"
"109"	"Male"	"Caucasian"
"110"	"Female"	"Caucasian"
"111"	"Male"	"AfricanAmerican"
"112"	"Male"	"?"
"113"	"Male"	"Caucasian"
"114"	"Male"	"Caucasian"
