""	"encounter_id"	"patient_nbr"	"admission_type_id"	"discharge_disposition_id"	"admission_source_id"	"time_in_hospital"	"num_lab_procedures"	"num_procedures"	"num_medications"	"number_outpatient"	"number_emergency"	"number_inpatient"	"number_diagnoses"	"Y"
"encounter_id"	1	0.0430024935821183	0.271415138065954	0.456105647802208	0.164047329874119	0.0120136499724373	0.121744770609204	0.0601986297070987	0.00727556211956243	0.00326003187323008	0.0497232860417419	0.0663576000662583	0.0111456324543348	0.0848171464106272
"patient_nbr"	0.0430024935821183	1	0.160332899559718	0.193120524740283	0.165025857095305	0.0289719205998706	0.0553074968103362	0.00589990775294452	0.101656574867941	0.119369012057665	0.0603555476669062	0.0568546861247142	0.000724021102846482	0.0541891250537774
"admission_type_id"	0.271415138065954	0.160332899559718	1	0.574506627478761	0.10466345501251	0.014544345953408	0.0659477322360398	0.02191746957891	0.039196872307403	0.0391054737156441	0.00543363660967188	0.126458980956823	0.144977746865454	0.0376310486505683
"discharge_disposition_id"	0.456105647802208	0.193120524740283	0.574506627478761	1	0.114068399521074	0.0334584308247527	0.0380884540646475	0.00875961298790769	0.0144091734763217	0.0382032714715016	0.0340040035866536	0.1023441862814	0.00275694187088974	0.00647318758755863
"admission_source_id"	0.164047329874119	0.165025857095305	0.10466345501251	0.114068399521074	1	0.0179143659360359	0.062767092932693	0.136998434680343	0.012722062632258	0.0155232833320932	0.121135953722234	0.00115823229219745	0.0928140032970371	0.0342164197473578
"time_in_hospital"	0.0120136499724373	0.0289719205998706	0.014544345953408	0.0334584308247527	0.0179143659360359	1	0.351738882561197	0.226997298508605	0.518103683001529	0.0174844814076061	0.0243535456617931	0.0718307513154178	0.290312339135621	0.0579933513891601
"num_lab_procedures"	0.121744770609204	0.0553074968103362	0.0659477322360398	0.0380884540646475	0.062767092932693	0.351738882561197	1	0.0900955725347135	0.270754900618833	0.0022940034173652	0.0447002570183096	0.0241398295733222	0.218816689659237	0.0552270870547786
"num_procedures"	0.0601986297070987	0.00589990775294452	0.02191746957891	0.00875961298790769	0.136998434680343	0.226997298508605	0.0900955725347135	1	0.463848540395419	0.000554842234907596	0.0500328880932515	0.0801799902527248	0.135892683747408	0.035059186624493
"num_medications"	0.00727556211956243	0.101656574867941	0.039196872307403	0.0144091734763217	0.012722062632258	0.518103683001529	0.270754900618833	0.463848540395419	1	0.0137731979886613	0.00601661683237277	0.0298703699521032	0.302415423561783	0.185440378082161
"number_outpatient"	0.00326003187323008	0.119369012057665	0.0391054737156441	0.0382032714715016	0.0155232833320932	0.0174844814076061	0.0022940034173652	0.000554842234907596	0.0137731979886613	1	0.13224587051	0.125306966473038	0.0332416054974325	0.0481324467396462
"number_emergency"	0.0497232860417419	0.0603555476669062	0.00543363660967188	0.0340040035866536	0.121135953722234	0.0243535456617931	0.0447002570183096	0.0500328880932515	0.00601661683237277	0.13224587051	1	0.116166897162119	0.0136670111658249	0.0286226489696062
"number_inpatient"	0.0663576000662583	0.0568546861247142	0.126458980956823	0.1023441862814	0.00115823229219745	0.0718307513154178	0.0241398295733222	0.0801799902527248	0.0298703699521032	0.125306966473038	0.116166897162119	1	0.118777811167353	0.0588856195761633
"number_diagnoses"	0.0111456324543348	0.000724021102846482	0.144977746865454	0.00275694187088974	0.0928140032970371	0.290312339135621	0.218816689659237	0.135892683747408	0.302415423561783	0.0332416054974325	0.0136670111658249	0.118777811167353	1	0.0136514926680934
"Y"	0.0848171464106272	0.0541891250537774	0.0376310486505683	0.00647318758755863	0.0342164197473578	0.0579933513891601	0.0552270870547786	0.035059186624493	0.185440378082161	0.0481324467396462	0.0286226489696062	0.0588856195761633	0.0136514926680934	1
